City Hostel,info@cityhostel.se,Fleminggatan 19,http://www.cityhostel.se/en/contact/,Stockholm
STF Stockholm/af Chapman & Skeppsholmen Vandrarhem,chapman@stfturist.se,Flaggmansvägen 8,https://www.svenskaturistforeningen.se/anlaggningar/stf-stockholmaf-chapman-skeppsholmen-vandrarhem-huset/,Stockholm
City backpackers hostel,info@citybackpackers.se,Upplandsgatan 2,https://www.citybackpackers.org/,Stockholm
Generator,stockholm@generatorhostels.com,Torsgatan 10,https://generatorhostels.com/information/contact-us,Stockholm
Castanea,info@castaneahostel.com,Kindstugatan 1,https://castaneahostel.com/en/contact-us/,Stockholm
Interhostel,info@interhostel.se,Kammakargatan 46,http://www.interhostel.se/kontakta-oss/,Stockholm
Birka hostel,info@birkahostel.se,Luntmakargatan 14,http://www.birkahostel.se/sv/kontakt/,Stockholm
Skanstull,kontakt@skanstulls.se,Ringvägen 135,https://www.skanstulls.se/sites/sv/,Stockholm
Lodge 32,info.lodge32@gmail.com,Hantverkargatan 32,https://sites.google.com/view/lodge32/english,Stockholm
Dockside hostel old town,info@docksidehostel.se,Skeppsbron 40,http://www.docksidehostel.se/sv/om-oss/,Stockholm
Old town lodge,guest@oldtownlodge.se,Baggensgatan 25,http://oldtownlodge.se/kontakta-oss/,Stockholm
Acco hostel,acco.hostel@gmail.com,Ansgariegatan 10,https://sites.google.com/view/accohostelcom/english,Stockholm
STF Långholmen Vandrarhem,vandrarhem@langholmen.com,Kronohäktet,https://www.svenskaturistforeningen.se/anlaggningar/stf-stockholmlangholmen-vandrarhem/,Stockholm
The red boat,info@theredboat.com,Kajplats 10,https://www.theredboat.com/contact,Stockholm
2kronor Vandrarhem i Vasastan,info@2kronor.se,Surbrunnsgatan 44,http://www.2kronor.se/en/contact-us,Stockholm
City Lodge,info@citylodge.se,Klara norra kyrkogata 15,http://www.citylodge.se/gastbok/,Stockholm
Stockholm hostel,info@stockholmhostel.se,Alströmergatan 15,http://www.stockholmhostel.se/kontakta-oss/,Stockholm
Castle house,info@castlehouse.se,,http://castlehouse.se,Stockholm
Craford place,info@crafoordplace.se,Hälsobrunnsgatan 10,http://www.crafoordplace.se,Stockholm
dalagatan,info@dalagatan.se,Dalagatan 30,http://www.dalagatan.se,Stockholm
Archipeligo hostel,info@archipelagohostel.se,Stora Nygatan 38,http://www.archipelagohostel.se,Stockholm
Mossebacke hostel,info@mosebackehostel.se,Högbergsgatan 26,http://www.mosebackehostel.se/contact.html,Stockholm
Dialog hostel,hk@dialoghotels.se,,http://www.dialoghotels.se,Stockholm
Stockholm inn,info@stockholminn.se,Drottninggatan 67,http://www.stockholminn.se,Stockholm
STF gardet,gardet@stfturist.se,Sandhamnsgatan 59A,http://www.vandrarhemstockholm.se/city/stf-gardet-hotel-hostel.html,Stockholm
Vanadis hotel,info@vanadishotel.com,Sveavägen 142,http://www.vanadishotel.com/kontakta-oss.aspx,Stockholm
STF MALMÖ CITY HOTELL & VANDRARHEM,malmo.city@stfturist.se,"Rönngatan 1, 211 47 Malmö",https://www.svenskaturistforeningen.se/anlaggningar/stf-malmo-city-vandrarhem/?gclid=CjwKCAiA-9rTBRBNEiwAt0ZnwxSg3N0t5rfyGVynmSZ_ITwjqdU2N5_db8geXI5SxtlNvCDQkrI-RxoCvNEQAvD_BwE,malmö
Rut and Ragnars,info@rutochragnars.se,Nobelvägen 113 214 33 Malmö,http://www.rutochragnars.se/en/,malmö
STF GÖTEBORG CITY HOTELL,goteborgcity@stfturist.se,"Drottninggatan 63-65, 41107 Göteborg",https://www.svenskaturistforeningen.se/anlaggningar/stf-goteborg-city-hotell/,gothenburg
LINNÉPLATSENS HOTELL & VANDRARHEM,info@boilinne.se,Linnéplatsen 8,http://www.goteborg.com/en/linneplatsens-hotell-och-vandrarhem/,gothenburg
spoton,info@spotonhotell.se,Mölndalsvägen 3,http://www.spotonhotell.se/homepages/en/,gothenburg
slottsskogens vandrarhem,mail@sov.nu,Vegagatan 21 SE-413 11 Göteborg,https://www.sov.nu/en/about-us/contact,gothenburg
Partille vandrarhem,partillevandrarhem@telia.com,"Landvettervägen 50, Åstebo",http://www.partillevandrarhem.com/en/kontakt/,gothenburg
Anker hostel,bookinghostel@anker.oslo.no,"Storgata 55, 0182 Oslo",https://ankerhostel.no/?lang=en,oslo
Saga Hotel Oslo Central,post.oslocentral@sagahotels.no,"Kongens gate 7, 0153 Oslo",https://sagahoteloslo.com/contact/,oslo
Anker apartment,aa@anker.oslo.no,"Københavngata 10, 0566 Oslo",https://ankerapartment.no/om-oss/,oslo
Cochs Pensjonat,booking@cochs.no,"Parkveien 25, 0350 Oslo",https://www.cochspensjonat.no/om-cochs/,oslo
